Στ. Ατμοσφαιρικής Ρύπανσης   οδού Εγνατίας (Κέντρο Πόλης),A.A.,Ημερο- μηνία,Ημέρα,SO2 μg/m3,PM10 μg/m3,PM2.5 μg/m3,CO mg/m3,NO μg/m3,NO2 μg/m3,O3 μg/m3,_sheet,Στ. Ατμοσφαιρικής Ρύπανσης   οδού 25ης Μαρτίου (Αν. Θεσ/νίκη),Στ. Ατμοσφαιρικής Ρύπανσης   οδού Λαγκαδά (Δυτ. Θεσ/νίκη),Στ. Ατμοσφαιρικής Ρύπανσης   Επταπυργίου (Άνω Πόλη),Στ. Ατμοσφαιρικής Ρύπανσης   Μαλακοπής (Αν. Θεσ/νίκη περιοχή Τούμπας),Στ. Ατμοσφαιρικής Ρύπανσης   Νέου Δημαρχείου (Γεωγραφικό κέντρο πόλης)
,7790.0,2010-04-30,2010-04-30,6.0,19.0,,1.9,90.0,95.0,44.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7791.0,2010-05-01,2010-05-01,4.0,28.0,,1.7,38.0,64.0,56.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7792.0,2010-05-02,2010-05-02,6.0,31.0,,1.9,77.0,98.0,44.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7793.0,2010-05-03,2010-05-03,4.0,45.0,,2.8,89.0,115.0,41.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7794.0,2010-05-04,2010-05-04,6.0,48.0,,2.5,88.0,116.0,38.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7795.0,2010-05-05,2010-05-05,5.0,48.0,,1.6,52.0,87.0,55.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7796.0,2010-05-06,2010-05-06,3.0,54.0,,1.3,95.0,111.0,41.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7797.0,2010-05-07,2010-05-07,5.0,43.0,,1.0,99.0,116.0,35.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7798.0,2010-05-08,2010-05-08,2.0,27.0,,1.8,89.0,108.0,30.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,7799.0,2010-05-09,2010-05-09,5.0,24.0,,1.7,130.0,111.0,32.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
